Path,URL,Size in bytes (optional but recommended),MD5 Hash (optional but recommended),Filter Terms (optional),Overwrite (optional),Comments (optional)
docs/gamedotcom/Manuals/Batman & Robin.pdf,https://archive.org/download/mister-manuals/1997_Tiger%20Game.com.zip/1997_Tiger%20Game.com%2FBatman%20%26%20Robin.pdf,1212488,afdd3202f993f3d10b17fd03a51b0912,,,Batman & Robin.pdf
docs/gamedotcom/Manuals/Centipede.pdf,https://archive.org/download/mister-manuals/1997_Tiger%20Game.com.zip/1997_Tiger%20Game.com%2FCentipede.pdf,819189,79f3416d2b8bc6789cd3c6518541f57a,,,Centipede.pdf
docs/gamedotcom/Manuals/Duke Nukem 3D.pdf,https://archive.org/download/mister-manuals/1997_Tiger%20Game.com.zip/1997_Tiger%20Game.com%2FDuke%20Nukem%203D.pdf,1481383,939623072a5e6168365d6a0be136e541,,,Duke Nukem 3D.pdf
docs/gamedotcom/Manuals/Fighters Megamix.pdf,https://archive.org/download/mister-manuals/1997_Tiger%20Game.com.zip/1997_Tiger%20Game.com%2FFighters%20Megamix.pdf,1620236,6ebd4531ab08939a0d4547eb74d72a1b,,,Fighters Megamix.pdf
docs/gamedotcom/Manuals/Frogger.pdf,https://archive.org/download/mister-manuals/1997_Tiger%20Game.com.zip/1997_Tiger%20Game.com%2FFrogger.pdf,846947,b1be053c81fec241c33bf9473ea6aba9,,,Frogger.pdf
docs/gamedotcom/Manuals/Henry.pdf,https://archive.org/download/mister-manuals/1997_Tiger%20Game.com.zip/1997_Tiger%20Game.com%2FHenry.pdf,993775,4007b32002fba5d24d1ca5bc9c89cbe1,,,Henry.pdf
docs/gamedotcom/Manuals/Indy 500.pdf,https://archive.org/download/mister-manuals/1997_Tiger%20Game.com.zip/1997_Tiger%20Game.com%2FIndy%20500.pdf,842016,1b778ef6c9be20fe20a1e23e5a687c34,,,Indy 500.pdf
docs/gamedotcom/Manuals/Jeopardy!.pdf,https://archive.org/download/mister-manuals/1997_Tiger%20Game.com.zip/1997_Tiger%20Game.com%2FJeopardy%21.pdf,1560538,f023628f226b195d877aed72a4074da0,,,Jeopardy!.pdf
docs/gamedotcom/Manuals/Lights Out.pdf,https://archive.org/download/mister-manuals/1997_Tiger%20Game.com.zip/1997_Tiger%20Game.com%2FLights%20Out.pdf,1737421,3c24335b569c89c3dafa56842c04c50b,,,Lights Out.pdf
"docs/gamedotcom/Manuals/Lost World, The - Jurassic Park.pdf",https://archive.org/download/mister-manuals/1997_Tiger%20Game.com.zip/1997_Tiger%20Game.com%2FLost%20World%2C%20The%20-%20Jurassic%20Park.pdf,1275748,31bfe5a43fde5ffb5e670efaacbf8ec6,,,"Lost World, The - Jurassic Park.pdf"
